,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
49,44.4,170,19.6,12.581,13,0.0999999999999979,-2.1,-15
1499,40.8,223,19.9,12.585,13,0.300000000000001,-1.7,-1
929,37.2,99,21.6,12.59,13,0.0999999999999979,-0.800000000000004,0
1376,49.7,106,16.9,12.602,13,0,-1.5,-1
2000,49.3,222,13.6,12.609,13,0.0999999999999996,4.40000000000001,-1
617,42.4,127,12.6,12.623,13,0.4,0.300000000000004,-2
870,44.9,122,19.3,12.63,13,0,1.9,0
396,45.2,157,15.6,12.64,13,0.300000000000001,1,15
503,53.9,126,12.8,12.644,13,-0.200000000000001,0.899999999999999,0
161,43.8,152,15.4,12.654,13,-0.200000000000001,-1.9,1
271,45.3,152,19.7,12.66,13,0.400000000000002,2.40000000000001,18
747,37.4,123,16.5,12.662,13,-0.199999999999999,1.3,0
1307,49,101,16.2,12.666,13,0.300000000000001,-2.5,-1
50,42.3,155,19.7,12.667,13,0.100000000000001,-1.4,15
1500,39.1,222,20.2,12.672,13,0.100000000000001,-0.300000000000004,1
930,36.4,99,21.7,12.676,13,0,1.3,1
1377,48.2,105,16.9,12.688,13,0.100000000000001,1.7,1
2001,53.7,221,13.7,12.696,13,0.100000000000001,-5.1,0
618,42.7,125,13,12.709,13,0.300000000000001,-0.400000000000006,-2
871,46.8,122,19.3,12.716,13,0.199999999999999,-0.5,0
397,46.2,172,15.9,12.726,13,-0.4,1.4,1
504,54.8,126,12.6,12.73,13,-0.5,0.200000000000003,0
162,41.9,153,15.2,12.74,13,0.100000000000001,-0.299999999999997,4
272,47.7,170,20.1,12.746,13,0.299999999999997,-2.90000000000001,0
748,38.7,123,16.3,12.748,13,0,0,0
1308,46.5,100,16.5,12.752,13,0.399999999999999,-0.100000000000001,1
51,40.9,170,19.8,12.753,13,0,-2,4
1501,38.8,223,20.3,12.76,13,-0.100000000000001,0.600000000000001,1
931,37.7,100,21.7,12.762,13,0.5,0.0999999999999943,0
1378,49.9,106,17,12.774,13,0.5,0.100000000000001,1
2002,48.6,221,13.8,12.782,13,0,2.5,0
619,42.3,123,13.3,12.796,13,-0.100000000000001,0.700000000000003,2
872,46.3,122,19.5,12.802,13,0.199999999999999,-0.899999999999999,1
398,47.6,173,15.5,12.812,13,0.300000000000001,1.3,-19
505,55,126,12.1,12.817,13,0.300000000000001,0.799999999999997,0
163,41.6,157,15.3,12.826,13,0.0999999999999996,1.1,-1
273,44.8,170,20.4,12.832,13,0.5,-1.3,-19
749,38.7,123,16.3,12.834,13,0.800000000000001,-3.3,1
52,38.9,174,19.8,12.839,13,0.199999999999999,1.1,-22
1309,46.4,101,16.9,12.839,13,-0.399999999999999,-0.399999999999999,0
1502,39.4,224,20.2,12.846,13,0.199999999999999,-1.8,0
932,37.8,100,22.2,12.848,13,-0.199999999999999,0.100000000000001,-1
1379,50,107,17.5,12.86,13,-0.100000000000001,-2,-2
2003,51.1,221,13.8,12.868,13,0.199999999999999,4.6,0
620,43,125,13.2,12.882,13,0.300000000000001,-1.7,1
873,45.4,123,19.7,12.888,13,0.199999999999999,-1,0
399,48.9,154,15.8,12.898,13,-0.100000000000001,-1.4,3
506,55.8,126,12.4,12.904,13,0.299999999999999,-0.0999999999999943,0
164,42.7,156,15.4,12.912,13,0,0.899999999999999,14
274,43.5,151,20.9,12.918,13,0.100000000000001,0.600000000000001,23
750,35.4,124,17.1,12.92,13,0.0999999999999979,0.600000000000001,-1
1310,46,101,16.5,12.924,13,0.399999999999999,0.899999999999999,1
53,40,152,20,12.925,13,0.100000000000001,-0.5,1
1503,37.6,224,20.4,12.933,13,0.200000000000003,-0.899999999999999,-4
933,37.9,99,22,12.934,13,0.399999999999999,0.399999999999999,2
1380,48,105,17.4,12.946,13,0.100000000000001,2.5,-1
2004,55.7,221,14,12.954,13,0.199999999999999,-3.1,0
621,41.3,126,13.5,12.968,13,-0.0999999999999996,1.8,-1
874,44.4,123,19.9,12.975,13,1.3,-3.6,-2
400,47.5,157,15.7,12.984,13,-0.199999999999999,-0.100000000000001,14
507,55.7,126,12.7,12.99,13,0.200000000000001,-3.3,0
165,43.6,170,15.4,12.998,13,0.4,-1.9,-2
275,44.1,174,21,13.004,13,0,-1.5,-24
751,36,123,17.2,13.007,13,0.199999999999999,-0.899999999999999,-2
1311,46.9,102,16.9,13.011,13,0,0,1
54,39.5,153,20.1,13.011,13,0.0999999999999979,0.899999999999999,11
1504,36.7,220,20.6,13.019,13,0.299999999999997,1.9,3
934,38.3,101,22.4,13.02,13,-0.299999999999997,0.100000000000001,-1
1381,50.5,104,17.5,13.032,13,0.300000000000001,-1.4,2
2005,52.6,221,14.2,13.04,13,0,-7.2,-3
622,43.1,125,13.4,13.054,13,0.4,-0.899999999999999,-1
401,47.4,171,15.5,13.07,13,0.4,-0.899999999999999,-16
508,52.4,126,12.9,13.076,13,0.5,-1.7,0
166,41.7,168,15.8,13.084,13,-0.100000000000001,1.3,-7
276,42.6,150,21,13.09,13,-0.100000000000001,1.7,23
752,35.1,121,17.4,13.093,13,-0.199999999999999,0,2
1312,46.9,103,16.9,13.097,13,0.100000000000001,-0.699999999999996,-2
55,40.4,164,20.2,13.097,13,-0.0999999999999979,0.399999999999999,-9
1505,38.6,223,20.9,13.104,13,-0.199999999999999,-1.2,-1
1193,38.4,96,15,13.106,13,0,-0.100000000000001,8
935,38.4,100,22.1,13.106,13,0.299999999999997,-1.1,-1
1194,38.3,104,15,13.116,13,0,0.300000000000004,-3
1382,49.1,106,17.8,13.117,13,0.0999999999999979,-2.5,-1
2006,45.4,218,14.2,13.126,13,0.600000000000001,3.2,2
623,42.2,124,13.8,13.14,13,0,-1.1,1
402,46.5,155,15.9,13.156,13,-0.200000000000001,-0.600000000000001,18
509,50.7,126,13.4,13.163,13,-0.300000000000001,-2,-1
167,43,161,15.7,13.17,13,0.100000000000001,-1.7,8
277,44.3,173,20.9,13.176,13,0.100000000000001,-2.59999999999999,1
753,35.1,123,17.2,13.179,13,0.100000000000001,-0.200000000000003,0
1313,46.2,101,17,13.182,13,-0.600000000000001,1.2,1
56,40.8,155,20.1,13.183,13,-0.100000000000001,-0.699999999999996,9
1506,37.4,222,20.7,13.191,13,-0.0999999999999979,1.7,2
936,37.3,99,22.4,13.192,13,0.400000000000002,-0.799999999999997,1
1195,38.6,101,15,13.203,13,0.199999999999999,-0.700000000000003,2
1383,46.6,105,17.9,13.204,13,-0.199999999999999,-0.100000000000001,-1
2007,48.6,220,14.8,13.213,13,-0.4,-2.1,1
624,41.1,125,13.8,13.226,13,-0.100000000000001,1.6,-1
403,45.9,173,15.7,13.242,13,0.400000000000002,0,-16
510,48.7,125,13.1,13.25,13,0.300000000000001,-1.3,1
168,41.3,169,15.8,13.256,13,0,2,-17
278,41.7,174,21,13.262,13,0.300000000000001,2,-13
754,34.9,123,17.3,13.265,13,0.399999999999999,-2.1,0
57,40.1,164,20,13.269,13,0.199999999999999,0,-9
1314,47.4,102,16.4,13.269,13,0.200000000000003,-1,0
937,36.5,100,22.8,13.277,13,0,3.3,1
1507,39.1,224,20.6,13.277,13,0.199999999999999,-4.1,-6
1196,37.9,103,15.2,13.289,13,0.4,0.800000000000004,-3
1384,46.5,104,17.7,13.289,13,0.100000000000001,-0.799999999999997,0
2008,46.5,221,14.4,13.299,13,0.299999999999999,-1.3,1
625,42.7,124,13.7,13.312,13,0.4,0,-1
404,45.9,157,16.1,13.328,13,0,0.300000000000004,-5
511,47.4,126,13.4,13.336,13,-0.4,-2.4,-1
169,43.3,152,15.8,13.342,13,0,-1.59999999999999,19
279,43.7,161,21.3,13.348,13,0.199999999999999,-1.90000000000001,12
755,32.8,123,17.7,13.351,13,-0.0999999999999979,0.700000000000003,-1
58,40.1,155,20.2,13.355,13,-0.0999999999999979,-0.899999999999999,-2
1315,46.4,102,16.6,13.355,13,0.0999999999999979,0.899999999999999,-1
1508,35,218,20.8,13.363,13,0.699999999999999,0.399999999999999,6
938,39.8,101,22.8,13.363,13,0,-1.7,-2
1197,38.7,100,15.6,13.375,13,0.300000000000001,-3.90000000000001,-1
1385,45.7,104,17.8,13.376,13,0.5,-0.400000000000006,2
2009,45.2,222,14.7,13.385,13,0.300000000000001,2.9,-1
626,42.7,123,14.1,13.398,13,0.0999999999999996,0.899999999999999,1
405,46.2,152,16.1,13.414,13,0.199999999999999,0.199999999999996,0
512,45,125,13,13.422,13,0.300000000000001,-0.899999999999999,1
170,41.7,171,15.8,13.428,13,0,2,-1
280,41.8,173,21.5,13.434,13,0.5,0,-18
756,33.5,122,17.6,13.437,13,0.0999999999999979,-5.3,1
1316,47.3,101,16.7,13.441,13,-0.0999999999999979,-1.59999999999999,1
59,39.2,153,20.1,13.441,13,0.199999999999999,1,18
939,38.1,99,22.8,13.449,13,0.0999999999999979,-1.5,1
1509,35.4,224,21.5,13.451,13,-0.5,0.399999999999999,-2
1386,45.3,106,18.3,13.461,13,1.4,0,-2
1198,34.8,99,15.9,13.462,13,0.4,-0.799999999999997,1
2010,48.1,221,15,13.473,13,0.5,-1.8,1
627,43.6,124,14.2,13.484,13,0,-3.4,0
406,46.4,152,16.3,13.5,13,-0.100000000000001,-0.100000000000001,0
513,44.1,126,13.3,13.508,14,-0.200000000000001,-0.600000000000001,0
171,43.7,170,15.8,13.514,14,0.199999999999999,-1.90000000000001,-13
281,41.8,155,22,13.519,14,-0.300000000000001,-0.299999999999997,10
757,28.2,123,17.7,13.523,14,0.600000000000001,-1.5,0
60,40.2,171,20.3,13.527,14,0,-0.400000000000006,3
1317,45.7,102,16.6,13.527,14,0.399999999999999,0.299999999999997,0
940,36.6,100,22.9,13.535,14,0.200000000000003,0.5,-1
1510,35.8,222,21,13.537,14,-0.300000000000001,3.1,3
1199,34,100,16.3,13.547,14,0,-1,-1
1387,45.3,104,19.7,13.547,14,-0.199999999999999,1.1,1
2011,46.3,222,15.5,13.558,14,-0.300000000000001,-3.9,-2
628,40.2,124,14.2,13.571,14,0,0.399999999999999,1
407,46.3,152,16.2,13.586,14,0,-1,13
514,43.5,126,13.1,13.594,14,0.4,-2.3,-2
172,41.8,157,16,13.6,14,-0.300000000000001,-3.8,0
282,41.5,165,21.7,13.606,14,-0.0999999999999979,1.5,-12
758,26.7,123,18.3,13.609,14,0,1.5,0
61,39.8,174,20.3,13.613,14,0.199999999999999,0.600000000000001,-3
1318,46,102,17,13.613,14,-0.100000000000001,1.2,0
941,37.1,99,23.1,13.621,14,0,-0.600000000000001,1
1511,38.9,225,20.7,13.623,14,-0.399999999999999,1.6,-6
1388,46.4,105,19.5,13.633,14,0,1.5,-1
1200,33,99,16.3,13.634,14,-0.199999999999999,3.1,2
2012,42.4,220,15.2,13.644,14,0.4,2.7,-1
629,40.6,125,14.2,13.658,14,0.300000000000001,-0.700000000000003,-1
408,45.3,165,16.2,13.672,14,0.199999999999999,0.5,-15
515,41.2,124,13.5,13.681,14,0.0999999999999996,0.899999999999999,3
173,38,157,15.7,13.686,14,0,2,-4
283,43,153,21.6,13.691,14,-0.200000000000003,-1.3,-4
759,28.2,123,18.3,13.695,14,0,-0.800000000000001,0
62,40.4,171,20.5,13.699,14,-0.100000000000001,-1.3,0
942,36.5,100,23.1,13.707,14,-0.100000000000001,0.5,0
1512,40.5,219,20.3,13.709,14,0.199999999999999,-2.8,1
1389,47.9,104,19.5,13.719,14,-0.100000000000001,-4.3,0
1201,36.1,101,16.1,13.72,14,0,0,1
2013,45.1,219,15.6,13.73,14,0.300000000000001,0.699999999999996,1
630,39.9,124,14.5,13.745,14,0,1.2,0
409,45.8,150,16.4,13.758,14,-0.199999999999999,-0.199999999999996,7
516,42.1,127,13.6,13.767,14,0.300000000000001,-2.3,-1
174,40,153,15.7,13.772,14,0.100000000000001,0.600000000000001,1
284,41.7,149,21.4,13.777,14,0,1.09999999999999,1
760,27.4,123,18.3,13.781,14,0.399999999999999,-1.4,-1
63,39.1,171,20.4,13.785,14,0.300000000000001,1.9,-17
943,37,100,23,13.793,14,-0.199999999999999,0.5,0
1513,37.7,220,20.5,13.794,14,0.199999999999999,1.59999999999999,3
1390,43.6,104,19.4,13.805,14,-0.0999999999999979,-0.5,-1
1202,36.1,102,16.1,13.806,14,-0.400000000000002,0.799999999999997,-1
2014,45.8,220,15.9,13.818,14,0,-0.5,0
631,41.1,124,14.5,13.831,14,-0.199999999999999,0.100000000000001,0
410,45.6,157,16.2,13.844,14,-0.0999999999999979,0.600000000000001,3
517,39.8,126,13.9,13.853,14,-0.700000000000001,0.700000000000003,-1
175,40.6,154,15.8,13.858,14,0,-0.800000000000004,0
285,42.8,150,21.4,13.864,14,-0.0999999999999979,-0.899999999999999,1
761,26,122,18.7,13.867,14,-0.0999999999999979,3.4,1
64,41,154,20.7,13.871,14,0.199999999999999,-0.299999999999997,-4
1319,47.2,102,16.9,13.871,14,-0.399999999999999,-0.800000000000004,-1
944,37.5,100,22.8,13.879,14,0.0999999999999979,0,0
1514,39.3,223,20.7,13.881,14,0.100000000000001,0.100000000000001,-1
1391,43.1,103,19.3,13.891,14,0.0999999999999979,0.899999999999999,1
1203,36.9,101,15.7,13.892,14,0.100000000000001,-0.299999999999997,0
2015,45.3,220,15.9,13.904,14,0.9,-0.0999999999999943,0
632,41.2,124,14.3,13.917,14,0.6,-0.600000000000001,2
411,46.2,160,16.1,13.93,14,0.399999999999999,-0.100000000000001,-8
518,40.5,125,13.2,13.939,14,0.800000000000001,0.600000000000001,0
176,39.8,154,15.8,13.944,14,0.899999999999999,0.5,1
286,41.9,151,21.3,13.951,14,1,-0.799999999999997,7
762,29.4,123,18.6,13.953,14,-0.100000000000001,-1,0
1320,46.4,101,16.5,13.957,14,0.300000000000001,0.899999999999999,2
65,40.7,150,20.9,13.958,14,-0.199999999999999,0,1
945,37.5,100,22.9,13.965,14,0.100000000000001,1.4,0
1515,39.4,222,20.8,13.966,14,-0.100000000000001,0.800000000000004,-2
1392,44,104,19.4,13.977,14,0,-0.700000000000003,0
1204,36.6,101,15.8,13.978,14,0.199999999999999,0.199999999999996,-1
2016,45.2,220,16.8,13.99,14,-0.100000000000001,-1.5,-1
633,40.6,126,14.9,14.004,14,0,-1.6,-2
412,46.1,152,16.5,14.016,14,-0.100000000000001,0,5
177,40.3,155,16.7,14.03,14,-0.599999999999998,-1.8,10
287,41.1,158,22.3,14.037,14,-0.400000000000002,-0.700000000000003,2
763,28.4,123,18.5,14.039,14,0.300000000000001,0.400000000000002,0
1321,47.3,103,16.8,14.043,14,-0.300000000000001,-1.4,0
66,40.7,151,20.7,14.044,14,0.100000000000001,-1.3,9
946,38.9,100,23,14.051,14,-0.100000000000001,-0.799999999999997,0
1516,40.2,220,20.7,14.053,14,0.199999999999999,-0.400000000000006,4
1393,43.3,104,19.4,14.063,14,-0.0999999999999979,0.800000000000004,0
1205,36.8,100,16,14.067,14,0.600000000000001,0.600000000000001,1
2017,43.7,219,16.7,14.076,14,-0.799999999999999,-2.8,1
634,39,124,14.9,14.09,14,0.199999999999999,1.5,-2
413,46.1,157,16.4,14.102,14,-0.199999999999999,1.1,-4
519,41.1,125,14,14.113,14,-0.199999999999999,-0.300000000000004,1
178,38.5,165,16.1,14.116,14,-0.200000000000001,2.6,-8
288,40.4,160,21.9,14.123,14,0.100000000000001,0.600000000000001,-6
764,28.8,123,18.8,14.125,14,-0.100000000000001,0,0
67,39.4,160,20.8,14.13,14,-0.400000000000002,0.5,-7
947,38.1,100,22.9,14.137,14,0.200000000000003,-0.300000000000004,-1
1517,39.8,224,20.9,14.138,14,0,-0.899999999999999,-1
1394,44.1,104,19.3,14.15,14,-0.199999999999999,-2.9,0
1206,37.4,101,16.6,14.153,14,0.0999999999999979,0.399999999999999,-4
2018,40.9,220,15.9,14.162,14,-0.200000000000001,0.600000000000001,1
635,40.5,122,15.1,14.176,14,-0.0999999999999996,-2.5,0
414,47.2,153,16.2,14.188,14,0.300000000000001,-2,7
520,40.8,126,13.8,14.199,14,-0.5,0.5,-1
179,41.1,157,15.9,14.202,14,-0.200000000000001,-0.200000000000003,9
289,41,154,22,14.209,14,-0.199999999999999,1,3
765,28.8,123,18.7,14.211,14,0.199999999999999,1.3,1
1322,45.9,103,16.5,14.215,14,0.699999999999999,0.100000000000001,-3
68,39.9,153,20.4,14.216,14,0.300000000000001,1.7,10
948,37.8,99,23.1,14.223,14,-0.300000000000001,0.400000000000006,1
1518,38.9,223,20.9,14.225,14,0.300000000000001,-1,-1
1395,41.2,104,19.1,14.236,14,0,0.199999999999996,-2
1207,37.8,97,16.7,14.239,14,-0.0999999999999979,-3,2
2019,41.5,221,15.7,14.248,14,0.400000000000002,2.5,-1
636,38,122,15,14.262,14,0,0.799999999999997,3
415,45.2,160,16.5,14.274,14,0.399999999999999,1.2,10
521,41.3,125,13.3,14.286,14,0.0999999999999996,-3.5,-4
180,40.9,166,15.7,14.288,14,0.200000000000001,0.100000000000001,3
290,42,157,21.8,14.295,14,0.199999999999999,0.5,7
766,30.1,124,18.9,14.297,14,-0.0999999999999979,0,-2
1323,46,100,17.2,14.301,14,0,-1.2,2
69,41.6,163,20.7,14.302,14,-0.0999999999999979,-1.6,7
949,38.2,100,22.8,14.308,14,0.300000000000001,0.0999999999999943,-1
1519,37.9,222,21.2,14.311,14,-0.0999999999999979,1.3,1
1396,41.4,102,19.1,14.322,14,0.299999999999997,1.1,2
1208,34.8,99,16.6,14.325,14,-0.400000000000002,1.1,-1
2020,44,220,16.1,14.334,14,0.0999999999999979,-2.6,0
637,38.8,125,15,14.348,14,0.4,0.800000000000004,1
522,37.8,121,13.4,14.372,14,0.0999999999999996,0.400000000000006,4
181,41,169,15.9,14.374,14,0,-1.4,-2
291,42.5,164,22,14.381,14,-0.100000000000001,-0.5,9
767,30.1,122,18.8,14.383,14,0,2,0
70,40,170,20.6,14.388,14,0.399999999999999,0,-9
1324,44.8,102,17.2,14.39,14,-0.0999999999999979,0,0
950,38.3,99,23.1,14.394,14,0,-1.3,1
1520,39.2,223,21.1,14.396,14,-0.100000000000001,-1,-1
1397,42.5,104,19.4,14.408,14,0.100000000000001,-3.2,-2
1209,35.9,98,16.2,14.411,14,0.100000000000001,1.1,2
2021,41.4,220,16.2,14.42,14,0.199999999999999,0.800000000000004,1
638,39.6,126,15.4,14.434,14,-0.0999999999999996,-2,-3
416,46.4,170,16.9,14.446,14,-0.299999999999997,-1.4,-6
523,38.2,125,13.5,14.459,14,0.0999999999999996,-0.300000000000004,1
182,39.6,167,15.9,14.46,14,0.200000000000001,-1.2,-10
292,42,173,21.9,14.467,14,-0.199999999999999,-0.600000000000001,-1
768,32.1,122,18.8,14.469,14,0.300000000000001,-1.9,0
71,40,161,21,14.474,14,-0.300000000000001,-0.5,1
1325,44.8,102,17.1,14.477,14,0.299999999999997,1,-1
951,37,100,23.1,14.48,14,0.0999999999999979,0.299999999999997,0
1521,38.2,222,21,14.483,14,0.300000000000001,-0.600000000000001,0
1398,39.3,102,19.5,14.494,14,0.100000000000001,1.3,1
1210,37,100,16.3,14.497,14,-0.199999999999999,0.899999999999999,1
2022,42.2,221,16.4,14.506,14,-0.199999999999999,-2.7,-1
639,37.6,123,15.3,14.52,15,-0.5,0.199999999999996,2
417,45,164,16.6,14.532,15,-0.300000000000001,1.2,-4
524,37.9,126,13.6,14.545,15,-0.0999999999999996,-0.799999999999997,-1
183,38.4,157,16.1,14.546,15,-0.200000000000001,-0.100000000000001,-4
293,41.4,172,21.7,14.553,15,-0.199999999999999,0.100000000000001,-1
769,30.2,122,19.1,14.555,15,-0.100000000000001,-0.899999999999999,1
72,39.5,162,20.7,14.56,15,0,1.4,-9
1326,45.8,101,17.4,14.563,15,-0.399999999999999,0.700000000000003,0
952,37.3,100,23.2,14.567,15,0,-1.2,-1
1522,37.6,222,21.3,14.569,15,0.0999999999999979,1.5,8
1399,40.6,103,19.6,14.58,15,0.0999999999999979,-4.5,0
1211,37.9,101,16.1,14.583,15,0.199999999999999,1,1
2023,39.5,220,16.2,14.592,15,0.300000000000001,-1,0
640,37.8,125,14.8,14.606,15,0.399999999999999,-0.5,0
418,46.2,160,16.3,14.618,15,0.300000000000001,2.3,11
525,37.1,125,13.5,14.631,15,-0.199999999999999,-0.700000000000003,1
184,38.3,153,15.9,14.632,15,0,1.1,17
294,41.5,171,21.5,14.639,15,0.100000000000001,-0.299999999999997,0
770,29.3,123,19,14.641,15,0.100000000000001,2.1,1
73,40.9,153,20.7,14.646,15,-0.0999999999999979,-0.5,-3
1327,46.5,101,17,14.649,15,-0.199999999999999,0.399999999999999,0
1523,39.1,230,21.4,14.655,15,-0.0999999999999979,-1.3,-8
953,36.1,99,23.2,14.656,15,-0.0999999999999979,0.100000000000001,0
1400,36.1,103,19.7,14.666,15,0.100000000000001,-0.600000000000001,0
1212,38.9,102,16.3,14.671,15,-0.100000000000001,-1.2,-2
2024,38.5,220,16.5,14.678,15,-0.399999999999999,1.3,0
641,37.3,125,15.2,14.692,15,0.100000000000001,2,-3
419,48.5,171,16.6,14.704,15,0.599999999999998,-4,-10
526,36.4,126,13.3,14.717,15,0,0.399999999999999,0
185,39.4,170,15.9,14.718,15,0.4,-0.699999999999996,-14
295,41.2,171,21.6,14.725,15,0.199999999999999,-1.1,3
771,31.4,124,19.1,14.727,15,0,-3.6,-1
74,40.4,150,20.6,14.732,15,-0.100000000000001,0.5,2
954,36.2,99,23.1,14.741,15,-0.200000000000003,0.399999999999999,0
1524,37.8,222,21.3,14.741,15,-0.100000000000001,-1.2,0
1401,35.5,103,19.8,14.752,15,0,0.299999999999997,-2
1213,37.7,100,16.2,14.757,15,0.199999999999999,-0.600000000000001,0
2025,39.8,220,16.1,14.764,15,-0.100000000000001,0.400000000000006,-1
642,39.3,122,15.3,14.778,15,0.199999999999999,-0.799999999999997,4
420,44.5,161,17.2,14.79,15,-0.300000000000001,-1,5
527,36.8,126,13.3,14.803,15,0.0999999999999996,-1,0
186,38.7,156,16.3,14.804,15,-0.300000000000001,0.899999999999999,0
296,40.1,174,21.8,14.811,15,-0.100000000000001,-1.6,-3
772,27.8,123,19.1,14.813,15,-0.100000000000001,-0.800000000000001,0
75,40.9,152,20.5,14.818,15,-0.100000000000001,0.399999999999999,20
1328,46.9,101,16.8,14.822,15,-6.7,13.6,50
955,36.6,99,22.9,14.828,15,0.200000000000003,-0.800000000000004,2
1525,36.6,222,21.2,14.828,15,-0.0999999999999979,-0.200000000000003,-7
1402,35.8,101,19.8,14.838,15,0.0999999999999979,1.1,2
1214,37.1,100,16.4,14.843,15,-0.299999999999997,1.6,0
2026,40.2,219,16,14.85,15,0.5,2.59999999999999,0
643,38.5,126,15.5,14.864,15,-0.0999999999999996,-2.5,-2
421,43.5,166,16.9,14.876,15,0,0.100000000000001,-5
528,35.8,126,13.4,14.889,15,-0.300000000000001,1.3,0
187,39.6,156,16,14.89,15,0.300000000000001,3.2,1
297,38.5,171,21.7,14.898,15,0,0.299999999999997,2
773,27,123,19,14.899,15,0.100000000000001,1.6,-1
76,41.3,172,20.4,14.904,15,0.200000000000003,0.600000000000001,-8
956,35.8,101,23.1,14.913,15,-0.100000000000001,1.3,-1
1526,36.4,215,21.1,14.914,15,0,-1.8,6
1403,36.9,103,19.9,14.924,15,0.800000000000001,-3.4,0
1215,38.7,100,16.1,14.929,15,0.199999999999999,-1.3,-1
2027,42.8,219,16.5,14.936,15,0,0.400000000000006,2
644,36,124,15.4,14.951,15,-0.0999999999999996,-0.600000000000001,1
422,43.6,161,16.9,14.962,15,-0.0999999999999979,0.299999999999997,11
529,37.1,126,13.1,14.975,15,0.0999999999999996,-0.5,-1
188,42.8,157,16.3,14.976,15,-0.300000000000001,-2.7,18
298,38.8,173,21.7,14.983,15,0,1.1,-1
774,28.6,122,19.1,14.985,15,0,-2.8,1
77,41.9,164,20.6,14.99,15,0,-1.4,-11
957,37.1,100,23,14.999,15,-0.100000000000001,-1,0
1527,34.6,221,21.1,15,15,0,-0.700000000000003,3
1404,33.5,103,20.7,15.009,15,-1,2,0
1216,37.4,99,16.3,15.015,15,-0.100000000000001,0.100000000000001,2
2028,43.2,221,16.5,15.023,15,-0.100000000000001,1,0
645,35.4,125,15.3,15.037,15,0,3.3,-1
875,40.8,121,21.2,15.044,15,0,0.900000000000006,0
423,43.9,172,16.8,15.048,15,-0.100000000000001,-1.3,0
530,36.6,125,13.2,15.061,15,-0.199999999999999,0,1
189,40.1,175,16,15.062,15,0.300000000000001,3,-3
299,39.9,172,21.7,15.069,15,-0.0999999999999979,-0.699999999999996,-3
775,25.8,123,19.1,15.071,15,-0.100000000000001,1.2,-1
78,40.5,153,20.6,15.076,15,-0.5,-0.700000000000003,1
958,36.1,100,22.9,15.085,15,0.400000000000002,-0.100000000000001,0
1528,33.9,224,21.1,15.087,15,0.299999999999997,0.300000000000004,0
1405,35.5,103,19.7,15.096,15,0,-1.3,0
1217,37.5,101,16.2,15.101,15,0.400000000000002,0.5,-1
2029,44.2,221,16.4,15.109,15,0,-2.7,0
646,38.7,124,15.3,15.124,15,0.0999999999999996,-1.2,1
424,42.6,172,16.7,15.134,15,-0.0999999999999979,-0.5,0
531,36.6,126,13,15.148,15,-0.300000000000001,0.399999999999999,-1
190,43.1,172,16.3,15.148,15,0,-1.9,-10
300,39.2,169,21.6,15.155,15,-0.200000000000003,1.8,-18
776,27,122,19,15.158,15,-0.100000000000001,-2.3,1
79,39.8,154,20.1,15.162,15,-0.400000000000002,1,18
959,36,100,23.3,15.171,15,0.5,0,0
1529,34.2,224,21.4,15.172,15,-0.5,2.2,-3
1406,34.2,103,19.7,15.184,15,0,-1.5,-1
1218,38,100,16.6,15.187,15,-0.300000000000001,-0.799999999999997,2
2030,41.5,221,16.4,15.195,15,-0.299999999999997,0.700000000000003,0
647,37.5,125,15.4,15.21,15,0,-2.1,0
876,41.7,121,21.2,15.216,15,-0.0999999999999979,0.199999999999996,0
532,37,125,12.7,15.234,15,0.4,-0.100000000000001,0
191,41.2,162,16.3,15.234,15,0,1.09999999999999,7
301,41,151,21.4,15.241,15,0.100000000000001,-0.799999999999997,21
777,24.7,123,18.9,15.244,15,0.300000000000001,0.100000000000001,0
80,40.8,172,19.7,15.248,15,0,0.800000000000004,-18
960,36,100,23.8,15.257,15,-0.900000000000002,1,0
1530,36.4,221,20.9,15.259,15,-0.299999999999997,1.9,3
1407,32.7,102,19.7,15.27,15,-0.199999999999999,-0.100000000000001,1
1219,37.2,102,16.3,15.274,15,0.0999999999999979,-1.2,-3
2031,42.2,221,16.1,15.281,15,-0.300000000000001,-0.5,0
648,35.4,125,15.4,15.296,15,0.9,-1.4,-2
877,41.9,121,21.1,15.302,15,0.5,-2.5,2
425,42.1,172,16.6,15.306,15,-0.300000000000001,-0.100000000000001,0
533,36.9,125,13.1,15.32,15,0.0999999999999996,-0.699999999999996,1
192,42.3,169,16.3,15.32,15,0.199999999999999,-2.3,0
302,40.2,172,21.5,15.327,15,0,1.59999999999999,1
778,24.8,123,19.2,15.33,15,0.199999999999999,-1.7,-1
81,41.6,154,19.7,15.335,15,-0.0999999999999979,0,18
961,37,100,22.9,15.343,15,-0.199999999999999,-0.700000000000003,0
1531,38.3,224,20.6,15.345,15,-0.300000000000001,0.700000000000003,-17
1408,32.6,103,19.5,15.356,15,0,-0.300000000000004,0
1220,36,99,16.4,15.36,15,-0.299999999999997,0.399999999999999,1
2032,41.7,221,15.8,15.367,15,0.0999999999999996,3.5,-1
649,34,123,16.3,15.382,15,-0.300000000000001,3.4,0
878,39.4,123,21.6,15.388,15,-0.600000000000001,-0.199999999999996,1
193,40,169,16.5,15.406,15,-0.199999999999999,-1.4,-10
534,36.2,126,13.2,15.406,15,-0.5,-0.700000000000003,1
303,41.8,173,21.5,15.413,15,-0.100000000000001,-0.799999999999997,-23
