,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
1754,59.7,222,15.6,10.565,11,-0.199999999999999,0,2
379,50.3,156,14,10.575,11,-0.0999999999999996,0.5,15
479,48.8,125,14.4,10.578,11,0.4,0.900000000000006,0
247,51.3,175,17.5,10.589,11,0,0.300000000000004,0
137,54.6,165,12.7,10.589,11,0.200000000000001,-0.300000000000004,-3
723,64.7,126,9.6,10.59,11,0.6,-3.1,1
1293,57.5,103,13.7,10.595,11,0.4,0,0
26,40.7,177,18.1,10.602,11,-0.200000000000003,-0.800000000000004,-25
906,48.7,99,18.6,10.611,11,0.299999999999997,0.5,1
1181,48.7,99,20.2,10.614,11,0.100000000000001,-1.1,1
1354,69.9,102,11.6,10.62,11,0.300000000000001,-3.90000000000001,2
1977,63.5,221,10.5,10.624,11,0,-0.799999999999997,0
594,57.8,128,9.1,10.634,11,0.200000000000001,0.300000000000004,-3
848,54.1,125,15.7,10.644,11,0.200000000000001,-1.5,0
1755,59.7,224,15.4,10.651,11,0.299999999999999,0.599999999999994,-3
380,50.8,171,13.9,10.661,11,0.199999999999999,-0.299999999999997,-20
480,49.7,125,14.8,10.664,11,-0.300000000000001,0.699999999999996,0
248,51.6,175,17.5,10.675,11,0.100000000000001,0.100000000000001,-27
138,54.3,162,12.9,10.675,11,0.199999999999999,0.600000000000001,8
724,61.6,127,10.2,10.677,11,0.300000000000001,-0.700000000000003,0
1294,57.5,103,14.1,10.682,11,0.300000000000001,0.700000000000003,-1
27,39.9,152,17.9,10.688,11,-0.199999999999999,0.200000000000003,-1
1477,69.2,223,14.8,10.689,11,0.0999999999999996,1,0
907,49.2,100,18.9,10.696,11,0.200000000000003,-1.7,1
1182,47.6,100,20.3,10.7,11,-0.100000000000001,-0.100000000000001,-1
1355,66,104,11.9,10.706,11,0.799999999999999,-0.0999999999999943,-1
1978,62.7,221,10.5,10.71,11,0.300000000000001,-0.600000000000001,-2
595,58.1,125,9.3,10.72,11,0.0999999999999996,-0.899999999999999,3
849,52.6,125,15.9,10.732,11,0.200000000000001,-0.200000000000003,-1
381,50.5,151,14.1,10.747,11,0.300000000000001,0.799999999999997,18
481,50.4,125,14.5,10.75,11,-0.0999999999999996,-0.600000000000001,-1
139,54.9,170,13.1,10.761,11,0,-1.6,-16
249,51.7,148,17.6,10.761,11,-0.100000000000001,1.59999999999999,25
725,60.9,127,10.5,10.763,11,0.0999999999999996,-1.2,1
1295,58.2,102,14.4,10.768,11,0.299999999999999,-5.2,1
28,40.1,151,17.7,10.774,11,0.100000000000001,1,4
1478,70.2,223,14.9,10.774,11,0,0.0999999999999943,0
908,47.5,101,19.1,10.783,11,0.299999999999997,-0.799999999999997,1
1183,47.5,99,20.2,10.786,11,0.100000000000001,1.5,2
1356,65.9,103,12.7,10.792,11,0.100000000000001,-2.8,1
1979,62.1,219,10.8,10.796,11,0.0999999999999996,-2.7,3
596,57.2,128,9.4,10.806,11,0.0999999999999996,-1.3,-1
850,52.4,124,16.1,10.818,11,0.199999999999999,-1.3,0
1756,60.3,221,15.7,10.825,11,0.200000000000001,-0.299999999999997,1
382,51.3,169,14.4,10.833,11,0.299999999999999,-2.3,1
482,49.8,124,14.4,10.836,11,-0.200000000000001,0.5,2
140,53.3,154,13.1,10.847,11,0.0999999999999996,-0.299999999999997,4
250,53.3,173,17.5,10.847,11,0.199999999999999,-1.5,-1
726,59.7,128,10.6,10.849,11,0.4,1.09999999999999,-3
1296,53,103,14.7,10.854,11,0.100000000000001,-0.100000000000001,0
29,41.1,155,17.8,10.859,11,0.199999999999999,-0.800000000000004,20
1479,70.3,223,14.9,10.861,11,0.299999999999999,-2.09999999999999,-1
909,46.7,102,19.4,10.868,11,0.200000000000003,-2.1,-1
1184,49,101,20.3,10.872,11,0.199999999999999,-1.1,-1
1357,63.1,104,12.8,10.878,11,0.399999999999999,-0.700000000000003,0
1980,59.4,222,10.9,10.883,11,0.299999999999999,-3.4,-2
597,55.9,127,9.5,10.892,11,0.300000000000001,0.800000000000004,-1
851,51.1,124,16.3,10.904,11,0.199999999999999,-0.600000000000001,-1
1757,60,222,15.9,10.911,11,0.499999999999998,-1.8,-3
483,50.3,126,14.2,10.922,11,0,0.900000000000006,-1
251,51.8,172,17.7,10.933,11,0.300000000000001,-0.299999999999997,2
141,53,158,13.2,10.933,11,0.100000000000001,0,-1
727,60.8,125,11,10.935,11,0.0999999999999996,-1.5,2
1297,52.9,103,14.8,10.941,11,0.0999999999999996,-0.299999999999997,0
30,40.3,175,18,10.946,11,0.100000000000001,0.900000000000006,-3
1480,68.2,222,15.2,10.946,11,0.300000000000001,0,9
910,44.6,101,19.6,10.954,11,0.0999999999999979,1.7,-4
1185,47.9,100,20.5,10.958,11,0.300000000000001,0.300000000000004,0
1358,62.4,104,13.2,10.964,11,0.100000000000001,0.200000000000003,1
1981,56,220,11.2,10.968,11,0,0.100000000000001,1
598,56.7,126,9.8,10.979,11,0.299999999999999,-1.8,1
852,50.5,123,16.5,10.99,11,0,0.299999999999997,0
1758,58.2,219,16.4,10.997,11,0.5,-1.90000000000001,6
383,49,170,14.7,11.005,11,-0.199999999999999,1.4,7
484,51.2,125,14.2,11.008,11,0.200000000000001,0,2
252,51.5,174,18,11.019,11,0,0.200000000000003,-22
142,53,157,13.3,11.019,11,0,-1.6,13
728,59.3,127,11.1,11.021,11,0.5,-0.599999999999994,-1
